CONTINENT,Country,Mammals,Birds,Reptiles*,Amphibians,Fishes*,Molluscs*,Other Inverts*,Plants*,Fungi & Protists*,Total*
AFRICA,Algeria,14,15,8,3,41,11,29,22,2,145
AFRICA,Egypt,18,14,13,0,60,0,56,8,0,169
AFRICA,Libya,10,8,6,0,33,0,4,8,0,69
AFRICA,Morocco,18,18,13,2,52,37,32,52,3,227
AFRICA,Tunisia,14,11,6,1,39,7,13,9,1,101
AFRICA,Western Sahara,10,5,1,0,31,2,1,0,0,50
AFRICA,Angola,19,32,7,0,53,7,4,36,0,158
AFRICA,Benin,15,12,7,1,42,2,1,21,0,101
AFRICA,Botswana,11,16,1,0,2,0,0,3,0,33
AFRICA,Burkina Faso,9,12,3,0,4,1,0,4,0,33
AFRICA,Burundi,13,15,0,1,17,3,3,110,0,162
AFRICA,Cabo Verde,4,7,6,0,36,13,0,51,0,117
AFRICA,Cameroon,46,29,13,57,123,13,12,559,0,852
AFRICA,Central African Republic,16,16,5,0,3,0,0,26,0,66
AFRICA,Chad,16,16,5,0,1,4,0,6,0,48
AFRICA,Comoros,5,14,5,0,13,0,77,9,0,123
AFRICA,Congo,16,7,6,1,56,7,0,47,0,140
AFRICA,"Congo, The Democratic Republic of the",31,42,9,11,95,44,10,185,0,427
AFRICA,Côte d'Ivoire,33,25,8,8,60,5,2,129,0,270
AFRICA,Djibouti,11,12,1,0,25,1,56,3,0,109
AFRICA,Equatorial Guinea,23,6,8,5,46,2,2,98,0,190
AFRICA,Eritrea,15,21,7,0,31,1,57,6,0,138
AFRICA,Eswatini,9,13,1,0,5,0,0,13,0,41
AFRICA,Ethiopia,36,35,3,12,13,4,11,64,0,178
AFRICA,Gabon,17,7,7,4,71,2,2,181,0,291
AFRICA,Gambia,10,14,6,0,38,2,0,6,0,76
AFRICA,Ghana,23,23,8,7,59,2,3,121,0,246
AFRICA,Guinea,31,20,9,8,76,3,5,175,0,327
AFRICA,Guinea-Bissau,14,12,8,0,41,2,0,10,0,87
AFRICA,Kenya,30,44,14,11,77,20,72,248,0,516
AFRICA,Lesotho,4,8,0,0,1,0,3,4,0,20
AFRICA,Liberia,25,14,8,3,64,3,7,83,0,207
AFRICA,Madagascar,121,37,139,145,112,35,160,1624,0,"2,373"
AFRICA,Malawi,10,19,4,5,36,7,7,37,0,125
AFRICA,Mali,14,17,4,0,2,0,0,24,0,61
AFRICA,Mauritania,18,19,6,0,43,2,1,0,0,89
AFRICA,Mauritius,7,12,11,0,24,30,91,91,0,266
AFRICA,Mayotte,2,3,7,0,10,0,72,4,0,98
AFRICA,Mozambique,18,30,14,5,75,0,65,170,0,377
AFRICA,Namibia,15,32,6,0,31,2,2,27,0,115
AFRICA,Niger,13,13,3,0,3,1,0,4,0,37
AFRICA,Nigeria,32,21,13,12,73,3,10,208,0,372
AFRICA,Réunion,4,7,0,0,18,17,72,19,0,137
AFRICA,Rwanda,23,20,0,2,7,0,4,71,0,127
AFRICA,"Saint Helena, Ascension and Tristan da Cunha",3,21,2,0,16,1,68,44,1,156
AFRICA,Sao Tome and Principe,4,12,5,3,27,3,1,49,0,104
AFRICA,Senegal,19,19,9,0,59,12,1,20,0,139
AFRICA,Seychelles,6,13,11,6,28,37,284,61,0,446
AFRICA,Sierra Leone,23,16,9,2,60,5,3,111,0,229
AFRICA,Somalia,16,21,6,0,33,2,60,49,0,187
AFRICA,South Africa,30,54,20,16,122,22,186,153,0,603
AFRICA,South Sudan,14,21,4,0,0,0,1,17,0,57
AFRICA,Sudan,16,26,6,0,34,0,50,19,0,151
AFRICA,"Tanzania, United Republic of",40,49,35,61,181,11,136,661,0,"1,174"
AFRICA,Togo,14,13,6,2,39,2,1,13,0,90
AFRICA,Uganda,30,30,4,2,60,14,16,83,0,239
AFRICA,Zambia,13,20,3,0,20,12,2,28,0,98
AFRICA,Zimbabwe,10,19,4,7,3,0,8,52,0,103
ANTARCTICA,Antarctica,2,4,0,0,0,0,0,0,0,6
ANTARCTICA,Bouvet Island,1,1,0,0,1,0,0,0,0,3
ANTARCTICA,French Southern Territories,3,13,4,0,8,0,0,1,0,29
ANTARCTICA,Heard Island and McDonald Islands,1,10,0,0,1,0,0,0,0,12
ANTARCTICA,South Georgia and the South Sandwich Islands,3,6,0,0,0,0,0,0,0,9
ASIA,China,72,96,47,87,139,15,64,599,5,"1,124"
ASIA,Hong Kong,4,21,5,5,16,1,8,10,0,70
ASIA,Japan,29,49,25,20,100,33,143,50,10,459
ASIA,"Korea, Democratic People's Republic of",10,29,2,1,21,0,3,17,0,83
ASIA,"Korea, Republic of",12,33,3,5,29,0,8,33,2,125
ASIA,Macao,0,4,1,0,10,0,1,0,0,16
ASIA,Mongolia,11,24,0,0,2,0,3,0,2,42
ASIA,"Taiwan, Province of China",12,24,9,10,79,1,128,85,2,350
ASIA,Belarus,4,9,0,0,2,3,7,2,1,28
ASIA,Moldova,4,11,2,0,8,2,4,2,0,33
ASIA,Russian Federation,34,57,9,0,39,7,31,63,27,267
ASIA,Ukraine,11,17,1,0,24,9,29,29,7,127
ASIA,British Indian Ocean Territory,0,1,2,0,15,0,69,1,0,88
ASIA,Brunei Darussalam,33,31,8,2,19,0,12,131,0,236
ASIA,Cambodia,39,31,21,9,54,1,78,39,0,272
ASIA,Disputed Territory,0,0,0,0,7,0,1,0,0,8
ASIA,India,93,93,54,75,231,7,129,399,0,"1,081"
ASIA,Indonesia,192,160,37,30,208,42,294,509,0,"1,472"
ASIA,Lao People's Democratic Republic,46,29,28,6,55,16,5,58,0,243
ASIA,Malaysia,72,63,57,33,118,37,245,812,1,"1,438"
ASIA,Maldives,2,0,3,0,28,0,46,0,0,79
ASIA,Myanmar,49,56,32,3,57,3,74,63,0,337
ASIA,Nepal,29,38,8,3,7,1,2,18,1,107
ASIA,Philippines,36,93,39,27,89,3,237,259,0,783
