Country,code,CONTINENT,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Inverts*,Plants,Fungi & Protists*,Total
Afghanistan,AFG,ASIA,11,16,1,1,4,0,2,5,0,40
Åland Islands,NA,EUROPE,0,0,0,0,0,0,0,1,0,1
Albania,ALB,EUROPE,3,8,5,2,43,50,21,5,0,137
Algeria,DZA,AFRICA,14,15,8,3,41,11,29,22,2,145
American Samoa,NA,OCEANIA,1,8,6,0,14,5,60,1,0,95
Andorra,NA,EUROPE,2,3,1,0,0,3,5,1,0,15
Angola,AGO,AFRICA,19,32,7,0,53,7,4,36,0,158
Anguilla,NA,NORTH AMERICA,1,0,9,0,33,0,10,4,0,57
Antarctica,ATA,ANTARCTICA,2,4,0,0,0,0,0,0,0,6
Antigua and Barbuda,NA,NORTH AMERICA,2,3,7,0,32,0,11,4,0,59
Argentina,ARG,SOUTH AMERICA,37,52,26,34,41,0,14,71,4,279
Armenia,ARM,ASIA,9,14,7,0,4,2,7,76,0,119
Aruba,NA,NORTH AMERICA,2,2,2,0,27,1,1,3,0,38
Australia,AUS,OCEANIA,63,52,75,47,126,174,371,107,1,"1,016"
Austria,AUT,EUROPE,3,13,1,0,11,43,31,37,31,170
Azerbaijan,AZE,ASIA,8,17,9,1,14,2,5,45,0,101
Bahamas,BHS,NORTH AMERICA,5,10,12,0,44,1,11,12,0,95
Bahrain,NA,ASIA,3,7,4,0,19,0,13,0,0,46
Barbados,NA,NORTH AMERICA,3,4,7,0,30,0,11,3,0,58
Belarus,BLR,ASIA,4,9,0,0,2,3,7,2,1,28
Belgium,BEL,EUROPE,2,8,0,0,13,6,9,3,14,55
Belize,BLZ,NORTH AMERICA,10,6,8,3,46,0,12,46,0,131
Benin,BEN,AFRICA,15,12,7,1,42,2,1,21,0,101
Bermuda,BMU,NORTH AMERICA,4,3,4,0,28,0,28,8,0,75
"Bolivia, Plurinational States of",BOL,SOUTH AMERICA,21,55,11,34,8,2,1,112,0,244
"Bonaire, Sint Eustatius and Saba",NA,NORTH AMERICA,3,2,6,0,33,0,11,3,0,58
Bosnia and Herzegovina,BIH,EUROPE,4,7,3,1,35,18,24,5,1,98
Botswana,BWA,AFRICA,11,16,1,0,2,0,0,3,0,33
Bouvet Island,NA,ANTARCTICA,1,1,0,0,1,0,0,0,0,3
Brazil,BRA,SOUTH AMERICA,81,175,29,35,91,22,42,581,1,"1,057"
British Indian Ocean Territory,NA,ASIA,0,1,2,0,15,0,69,1,0,88
Brunei Darussalam,BRN,ASIA,33,31,8,2,19,0,12,131,0,236
Bulgaria,BGR,EUROPE,8,17,2,0,22,32,25,13,5,124
Burkina Faso,BFA,AFRICA,9,12,3,0,4,1,0,4,0,33
Burundi,BDI,AFRICA,13,15,0,1,17,3,3,110,0,162
Cabo Verde,NA,AFRICA,4,7,6,0,36,13,0,51,0,117
Cambodia,KHM,ASIA,39,31,21,9,54,1,78,39,0,272
Cameroon,CMR,AFRICA,46,29,13,57,123,13,12,559,0,852
Canada,CAN,NORTH AMERICA,18,24,6,1,44,17,21,20,17,168
Cayman Islands,NA,NORTH AMERICA,1,3,9,0,32,1,10,23,0,79
Central African Republic,CAF,AFRICA,16,16,5,0,3,0,0,26,0,66
Chad,TCD,AFRICA,16,16,5,0,1,4,0,6,0,48
Chile,CHL,SOUTH AMERICA,18,35,25,30,27,1,12,75,1,224
China,CHN,ASIA,72,96,47,87,139,15,64,599,5,"1,124"
Christmas Island,NA,OCEANIA,2,4,3,0,13,0,19,1,0,42
Cocos (Keeling) Islands,NA,OCEANIA,2,1,1,0,13,0,20,0,0,37
Colombia,COL,SOUTH AMERICA,57,126,36,261,101,4,51,280,0,916
Comoros,NA,AFRICA,5,14,5,0,13,0,77,9,0,123
Congo,COG,AFRICA,16,7,6,1,56,7,0,47,0,140
"Congo, The Democratic Republic of the",COD,AFRICA,31,42,9,11,95,44,10,185,0,427
Cook Islands,NA,OCEANIA,1,16,3,0,12,0,32,11,0,75
Costa Rica,CRI,NORTH AMERICA,11,27,12,61,65,1,30,143,1,351
Côte d'Ivoire,NA,AFRICA,33,25,8,8,60,5,2,129,0,270
Croatia,HRV,EUROPE,9,14,4,2,64,49,30,11,14,197
Cuba,CUB,NORTH AMERICA,10,19,29,49,44,0,23,180,0,354
Curaçao,NA,NORTH AMERICA,3,2,5,0,29,0,11,2,0,52
Cyprus,CYP,ASIA,6,7,5,0,26,5,10,23,1,83
Czechia,CZE,EUROPE,3,9,0,0,2,6,23,31,20,94
Denmark,DNK,EUROPE,2,9,0,0,19,5,11,2,19,67
Disputed Territory,NA,ASIA,0,0,0,0,7,0,1,0,0,8
Djibouti,DJI,AFRICA,11,12,1,0,25,1,56,3,0,109
Dominica,NA,NORTH AMERICA,3,7,3,2,32,0,11,12,0,70
Dominican Republic,DOM,NORTH AMERICA,7,17,47,32,30,0,18,49,0,200
Ecuador,EQU,SOUTH AMERICA,46,106,69,158,62,49,21,1875,7,"2,393"
Egypt,EGY,AFRICA,18,14,13,0,60,0,56,8,0,169
El Salvador,SLV,NORTH AMERICA,6,7,10,9,18,0,10,33,0,93
Equatorial Guinea,GNQ,AFRICA,23,6,8,5,46,2,2,98,0,190
Eritrea,ERI,AFRICA,15,21,7,0,31,1,57,6,0,138
Estonia,EST,EUROPE,1,9,0,0,5,4,3,2,15,39
