category,sciname,commonname,year1,year2,size
Mammals,Bos sauveli,Kouprey,2008,1969/70,10
Mammals,Crocidura trichura,Christmas Island Shrew,2008,1985,10
Mammals,Cryptochloris wintoni,De Winton's Golden Mole,2008,1937,10
Mammals,Dendrolagus mayri,Wondiwoi Tree-kangaroo,2008,1928,10
Mammals,Dipodomys gravipes,San Quintin Kangaroo Rat,2008,1986,10
Mammals,Gyldenstolpia fronto,Fossorial Giant Rat,2018,1896,10
Mammals,Lipotes vexillifer,Yangtze River Dolphin,2008,2002,10
Mammals,Melanomys zunigae,Zuniga's Dark Rice Rat,2008,1949,10
Mammals,Mesocapromys nanus,Dwarf Hutia,2008,1937,10
Mammals,Mesocapromys sanfelipensis,Little Earth Hutia,2008,1978,10
Mammals,Monodelphis unistriata,Single-striped Opossum,2011,1899,10
Mammals,Murina tenebrosa,Gloomy Tube-nosed Bat,2008,1962,10
Mammals,Mystacina robusta,New Zealand Greater Short-tailed Bat,2008,1967,10
Mammals,Nilopegamys plumbeus,Ethiopian Amphibious Rat,2008,1920s,10
Mammals,Nyctophilus howensis,Lord Howe Long-eared Bat,2008,1972,10
Mammals,Peromyscus guardia,Angel Island Mouse,2008,1991,10
Mammals,Peromyscus mekisturus,Puebla Deer Mouse,2008,before 1948,10
Mammals,Phalanger matanim,Telefomin Cuscus,2008,1997,10
Mammals,Pharotis imogene,Thomas's Big-eared Bat,2008,1890,10
Mammals,Piliocolobus bouvieri,Bouvier’s Red Colobus,2008,1970s,10
Mammals,Piliocolobus waldroni,Miss Waldron’s Red Colobus,2019,2008,10
Mammals,Pteralopex pulchra,Montane Monkey-faced Bat,2008,1991,10
Mammals,Pteropus aruensis,Aru Flying Fox,2008,1992,10
Mammals,Pteropus tuberculatus,Vanikoro Flying Fox,2008,before 1930,10
Mammals,Tylomys bullaris,Chiapan Climbing Rat,2019,1970,10
Mammals,Tylomys tumbalensis,Tumbalá Climbing Rat,2019,1970,10
Mammals,Uromys emmae,Emma's Giant Rat,2008,1946,10
Mammals,Uromys imperator,Emperor Rat,2008,"1886-1888 (confirmed);
1960s (possible)",10
Mammals,Uromys porculus,Guadalcanal Rat,2008,1886-1888,10
Mammals,Viverra civettina,Malabar Civet,2015,,10
Birds,Acrocephalus longirostris,Moorea Reed-warbler,2016,1987,10
Birds,Callaeas cinereus,South Island Kokako,2016,2007,10
Birds,Campephilus imperialis,Imperial Woodpecker,2013,1956,10
Birds,Cichlocolaptes mazarbarnetti,Cryptic Treehunter,2016,2007,10
Birds,Cyanopsitta spixii,Spix's Macaw,2013,2000,10
Birds,Eriocnemis godini,Turquoise-throated Puffleg,2012,1850,10
Birds,Eurostopodus exul,New Caledonian Nightjar,2014,1939,10
Birds,Hemignathus affinis,Maui Nukupuu,2016,1896,10
Birds,Hemignathus hanapepe,Kauai Nukupuu,2016,1899,10
Birds,Hydrobates macrodactylus,Guadalupe Storm-petrel,2012,1912,10
Birds,Loxops ochraceus,Maui Akepa,2016,1988,10
Birds,Melamprosops phaeosoma,Poo-uli,2012,2004,10
Birds,Myadestes lanaiensis,Olomao,2013,1994,10
Birds,Numenius borealis,Eskimo Curlew,2012,1963,10
Birds,Paroreomyza maculata,Oahu Alauahio,2012,1985,10
Birds,Pomarea mira,Ua Pou Monarch,2013,2010,10
Birds,Psittirostra psittacea,Ou,2012,1989,10
Birds,Pterodroma caribbaea,Jamaican Petrel,2013,1879,10
Birds,Pyrrhura subandina,Sinu Parakeet,2014,1949,10
Birds,Siphonorhis americana,Jamaican Poorwill,2012,1860,10
Birds,Turnix novaecaledoniae,New Caledonian Buttonquail,2014,1911,10
Birds,Vermivora bachmanii,Bachman's Warbler,2013,1988,10
Reptiles,Alinea lanceolata,Barbados Skink,2015,1889,10
Reptiles,Anilios insperatus,Fassifern Blind Snake,2017,1992,10
Reptiles,Anolis roosevelti,Culebra Giant Anole,2009,1932,10
Reptiles,Borikenophis sanctaecrucis,Saint Croix Racer,2015,19th or early 20th Century,10
Reptiles,Calamaria prakkei,Prakke's Reed Snake,2011,,10
Reptiles,Capitellum mariagalantae,Marie-Galante Skink,2015,1830s,10
Reptiles,Capitellum metallicum,Lesser Martinique Skink,2015,before 1879,10
Reptiles,Capitellum parvicruzae,Lesser Saint Croix Skink,2013,,10
Reptiles,Celestus anelpistus,Giant Hispaniolan Galliwasp,2004,1977,10
Reptiles,Celestus occiduus,Jamaica Giant Galliwasp,2017,1851,10
Reptiles,Chelonoidis phantasticus,Fernandina Giant Tortoise,2015,1964,10
Reptiles,Cynisca gansi,,2012,,10
Reptiles,Erythrolamprus cursor,Lacépède's Ground Snake,2015,1968,10
Reptiles,Gallotia auaritae,La Palma Giant Lizard,2008,,10
Reptiles,Holcosus orcesi,Peters' Ameiva,2017,1959,10
Reptiles,Hypsirhynchus ater,Jamaican Racer,2015,1900,10
Reptiles,Hypsirhynchus melanichnus,La Vega Racer,2015,1910,10
Reptiles,Leiocephalus endomychus,Central Haitian Curlytail,2015,1976,10
Reptiles,Leiocephalus pratensis,Atalaye Curlytail Lizard,2015,1966,10
Reptiles,Leiocephalus rhutidira,Lapierre Curlytail Lizard,2015,1978,10
Reptiles,Lepidoblepharis miyatai,,2013,1964,10
Reptiles,Liolaemus cranwelli,Cranwell's Tree Iguana,2014,1973,10
Reptiles,Mabuya hispaniolae,Hispaniolan Two-lined Skink,2015,1937,10
Reptiles,Mabuya mabouya,Greater Martinique Skink,2015,1889,10
Reptiles,Mabuya montserratae,Montserrat Skink,2015,1984,10
Reptiles,Mitophis leptepileptus,Haitian Border Threadsnake,2015,1984,10
Reptiles,Omoadiphas cannula,,2012,1989,10
Reptiles,Pseudoxyrhopus ankafinaensis,,2011,1881,10
Reptiles,Rhampholeon chapmanorum,Chapman's Pygmy Chameleon,2014,1998,10
Reptiles,Sphaerodactylus elasmorhynchus,Marche Leon Least Gecko,2015,1966,10
Reptiles,Sphaerodactylus lazelli,Cap-Haitien Least Gecko,2015,1960,10
Reptiles,Sphaerodactylus williamsi,Haitian Striped Sphaero,2015,before 1983,10
Reptiles,Spondylurus anegadae,Anegada Skink,2015,1966,10
Reptiles,Spondylurus haitiae,Hispaniolan Four-lined Skink,2015,1857-1858,10
Reptiles,Spondylurus lineolatus,Hispaniolan Ten-lined Skink,2015,1985,10
Reptiles,Spondylurus magnacruzae,Greater Saint Croix Skink,2013,2000,10
Reptiles,Spondylurus martinae,Saint Martin Skink,2015,1965,10
Reptiles,Spondylurus monitae,Monito Skink,2013,1993,10
Reptiles,Spondylurus spilonotus,Greater Virgin Islands Skink,2013,1877,10
Reptiles,Stenocercus haenschi,Haensch's Whorltail Iguana,2009,1901,10
Reptiles,Trimetopon viquezi,Viquez's Tropical Ground Snake,2012,1927,10
Amphibians,Altiphrynoides osgoodi,Osgood's Ethiopian Toad,2012,2003,10
Amphibians,Ameerega andina,La Planada Poison Frog,2019,1990s,10
Amphibians,Andinobates abditus,Collins' Poison Frog,2004,,10
Amphibians,Andinobates viridis,Green Poison Frog,2016,2005,10
Amphibians,Aquiloeurycea praecellens,Admirable False Brook Salamander,2009,24-Dec-40,10
Amphibians,Aromobates nocturnus,Skunk Frog,2006,1991,10
